資料集名稱,資料來源,聯絡人,聯絡電話,資料說明
宜蘭縣政府無線充電放置地點,計畫處_資訊應用科,游先生,(03)925-1000#3356,宜蘭縣政府為推動智慧城市建設，在考量財政限制下，特別透過與民間公私協力，除了積極佈建無線wifi網路，近日為解決民眾來宜蘭旅遊時手機臨時電力不足，又找不到充電插頭時的窘境，在既有有線充電座之外，並與民間提供無線充電座的廠商合作，在縣內主要景點佈設免費無線充電座服務，除了讓民眾能夠隨時充電，同時體驗無線充電科技的便利性。
宜蘭縣立案人民團體名冊,社會處_社區發展及合作科,李勝楷,(03)932-8822#332,宜蘭縣立案人民團體資料
宜蘭縣IOC環境資料,計畫處_資訊應用科,黃先生,(03)925-1000#3355,宜蘭縣IOC示範平台所展示之環境盒子相關環境資訊。
1999專線及縣政信箱,計畫處_為民服務科,吳安榆,(03)925-1000*1973,提供縣民與政府間的溝通平台
宜蘭縣柴油車油品成份含硫量歷年查驗成果,環保局_空氣噪音防制科,江宜修,(03)9907755#208,提供宜蘭縣柴油車油品成份含硫量歷年查驗成果資料(CSV_XML_JSON)
宜蘭縣105學年度第2學期國民小學辦理兒童課後照顧服務班學校清單,教育處_課程發展科,李小姐,(03)925-1000分機2655,宜蘭縣105學年度第2學期國民小學辦理兒童課後照顧服務班學校清單
宜蘭縣柴油車各廠牌原廠保養維修廠地址資料,環保局_空氣噪音防制科,楊博植,(03)9907755分機207,提供宜蘭縣內柴油車各廠牌的原廠保養維修廠地址資料
宜蘭縣旅遊景點、學校、公廁等公共設施管理檢查執行情形報告表,環保局_廢棄物管理科,林惠珠,(03)9907755分機305,提供宜蘭縣旅遊景點、學校、公廁等公共設施管理檢查執行情形報告資料
空氣污染防制法-空氣品質標準,環保局_空氣噪音防制科,江宜修,(03)9907755分機208,提供空氣污染防制法之空氣品質標準各項標準值說明
空氣污染防制法-空氣品質標準之各項平均值意義說明,環保局_空氣噪音防制科,江宜修,(03)9907755分機208,提供空氣污染防制法空氣品質標準之各項平均值意義說明
宜蘭縣流感疫苗合約醫療院所,衛生局_疾病管制科,金淑萍,(03)925-1000,宜蘭縣流感疫苗合約醫療院所名冊
宜蘭縣政府地方稅務局員工人數,地方稅務局_人事室,人事室主任,(03)9325101轉190,提供宜蘭縣政府地方稅務局員工人數、年齡、學歷、職等、年資等資訊
宜蘭縣政府地方稅務局小客車使用牌照稅稅額表,地方稅務局_財產稅科,黃碧玲,(03)932-5101,提供宜蘭縣政府地方稅務局小客車使用牌照稅稅額表
宜蘭縣房屋稅徵收率,地方稅務局_財產稅科,林佩宣,(03)9325101-122,資料來源：本表係根據本縣房屋稅徵收率自治條例編製，自104年7月1日起適用。
105年宜蘭縣使用牌照稅稅源表,地方稅務局_財產稅科,黃碧玲,(03)932-5101#142,提供105年宜蘭縣使用牌照稅稅源表
104年宜蘭縣使用牌照稅稅源表,地方稅務局_財產稅科,黃碧玲,(03)932-5101#142,提供104年宜蘭縣使用牌照稅稅源表
宜蘭縣政府地方稅務局大客車及貨車使用牌照稅稅額表,地方稅務局_財產稅科,黃碧玲,(03)932-5101#142,提供宜蘭縣政府地方稅務局大客車及貨車使用牌照稅稅額表
宜蘭縣政府地方稅務局機器腳踏車使用牌照稅稅額表,地方稅務局_財產稅科,黃碧玲,(03)932-5101#142,提供宜蘭縣政府地方稅務局機器腳踏車使用牌照稅稅額表
宜蘭縣102年-104年地價稅累進起點地價及課稅級距表,地方稅務局_土地稅科,丁怡均,(03)9325101#227,提供宜蘭縣102年至104年地價稅累進起點地價及課稅級距表
宜蘭縣105年-106年地價稅累進起點地價及課稅級距表,地方稅務局_土地稅科,丁怡均,(03)9325101#227,提供宜蘭縣105年-106年地價稅累進起點地價及課稅級距表
100至105年宜蘭縣多元繳稅管道件數統計表,地方稅務局_資訊管理科,林佩芬,(03)932-5101分機307,繳稅管道件數統計
105年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表,地方稅務局_企劃服務科,許甘靜,(03)932-5101轉101,提供105年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表
101年度宜蘭縣政府地方稅務局歲出機關別決算表,地方稅務局_會計室,游雅鈴,(03)932-5101轉271,提供101年度宜蘭縣政府地方稅務局歲出機關別決算表
宜蘭縣政府地方稅務局106年度辦理廉政宣導社會參與活動一覽表,地方稅務局_政風室,謝孟樵,(03)9325101*210,政風室年度辦理宣導活動簡介
102年度宜蘭縣政府地方稅務局歲出機關別決算表,地方稅務局_會計室,游雅鈴,(03)932-5101轉271,提供102年度宜蘭縣政府地方稅務局歲出機關別決算表
103年度宜蘭縣政府地方稅務局歲出機關別決算表,地方稅務局_會計室,游雅鈴,(03)932-5101轉271,提供103年度宜蘭縣政府地方稅務局歲出機關別決算表
104年度宜蘭縣政府地方稅務局歲出機關別決算表,地方稅務局_會計室,游雅鈴,(03)932-5101轉271,提供104年度宜蘭縣政府地方稅務局歲出機關別決算表
105年度宜蘭縣政府地方稅務局歲入預算,地方稅務局_會計室,陳盈懿,(03)932-5101,105年度宜蘭縣政府地方稅務局歲入預算
宜蘭縣公私場所臭異味檢測結果,環保局_空氣噪音防制科,楊聖回,(03)9907755分機205,提供宜蘭縣公私場所臭異味檢測結果
101年度宜蘭縣娛樂稅稅源,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供101年度宜蘭縣娛樂稅稅源
宜蘭縣稅務機關資訊表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供宜蘭縣稅務機關資訊表
宜蘭縣政府地方稅務局103年至105年線上服務案件一覽表,地方稅務局_企劃服務科,,(03)932-5101#101,提供宜蘭縣政府地方稅務局103年至105年線上服務案件一覽表
宜蘭縣政府地方稅務局103年至105年全功能櫃臺服務績效一覽表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供宜蘭縣政府地方稅務局103年至105年全功能櫃臺服務績效一覽表
105年度宜蘭縣政府地方稅務局各項稅捐實徵淨額,地方稅務局_會計室,陳盈懿,(03)9325101,105年度宜蘭縣政府地方稅務局各項稅捐實徵淨額
104年度宜蘭縣政府地方稅務局歲入決算,地方稅務局_會計室,陳盈懿,(03)932-5101,104年度宜蘭縣政府地方稅務局歲入決算
105年宜蘭縣政府地方稅務局本轄代發他機關作業統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供105年宜蘭縣政府地方稅務局本轄代發他機關作業統計表
宜蘭縣計程車業者(酒後代駕)叫車資訊一覽表,建設處_公共運輸科,李長晃,(03)925-1000,縣轄計程車行兼具提供酒後代駕服務計程車行叫車資訊
兒童及少年安置教養機構,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
早期療育服務通報轉介中心,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
兒童及少年福利服務中心,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
早期療育服務個案管理中心,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
身心障礙住宿機構,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
身心障礙福利機構,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
身心障礙福利日間照顧機構,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
公私立托育資源中心,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
公私立托嬰中心,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
老人福利機構,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
老人福利服務中心,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
單親及婦服務中心,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
輔具服務單位,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
日間照顧中心,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
家庭及性侵害防治中心,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
社區照顧關懷據點,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
社會服務中心,社會處_社會工作科,許廷兆,(03)932-8822#314,
高風險家庭關懷輔導處遇服務提供單位,社會處_社會工作科,許廷兆,(03)932-8822#314,
遊民收容位置及收容人,社會處_社會救助科,許廷兆,(03)932-8822#314,
新移民家庭服務中心,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
新住民社區服務據點,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
保母系統分布,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
社區家庭守護據點,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
收出養服務中心,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
人安養機構,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
社區家庭守護據點,社會處_兒少及婦女福利科,許廷兆,(03)932-8822#314,
二手輔具資源整合交換中心,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
身心障礙牙醫醫院所,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
身心障礙者復康巴士服務,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
身心障礙團體,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
失智症守護據點,社會處_老人及身障福利科,許廷兆,(03)932-8822#314,
人共餐據點,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
居家護理機構,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
避難收容所位置及收容人,社會處_社會救助科,許廷兆,(03)932-8822#314,
社區活動中心,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
村里辦公室,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
AED設置場所,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
衛生所,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
就業服務據點,社會處_勞工行政課,許廷兆,(03)932-8822#314,
物資銀服務據點,社會處_社會救助科,許廷兆,(03)932-8822#314,
社區發展協會,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
社會志願服務團隊,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
公團體,社會處_社區發展及合作科,許廷兆,(03)932-8822#314,
執業社工師分布,社會處_社會工作科,許廷兆,(03)932-8822#314,
106年度宜蘭縣政府地方稅務局歲出預算,地方稅務局_會計室,簡素月,(03)9325101#272,106年度宜蘭縣政府地方稅務局歲出預算
宜蘭歷史上的今天,縣史館_文獻組,吳小姐,(03)925-5488分機5014,"以事件發生的月日為基礎, 由宜蘭縣史館收集匯整至西元2007年, 在宜蘭地方發生的歷史重大紀事"
歡樂宜蘭年全紀錄,文化局_文化發展科,江小姐,(03)932-2440分機305,"文化局自1994年開始辦理歡樂宜蘭年, 本資料集述歷年主題及紅包等相關資訊"
宜蘭縣歷史建築,文化局_文化資產科,莊小姐,(03)932-2440分機606,宜蘭縣歷史建築資訊
宜蘭縣演藝團體名冊,文化局_表演藝術科,林小姐,(03)936-9115分機115,宜蘭縣演藝事業團體名冊
宜蘭縣遺址,文化局_文化資產科,莊小姐,(03)932-2440分機606,宜蘭縣遺址資訊
宜蘭縣街頭藝人通訊錄,文化局_表演藝術科,周先生,(03)936-9115分機116,宜蘭縣政府文化局為建立街頭藝人從事藝文活動制度，已於97年1月發布「宜蘭縣街頭藝人從藝文活動許可辦法」，並從97年辦理街頭藝人審查活動起至今，本資料集收錄通過審核之最新宜蘭縣街頭藝人通訊錄。
宜蘭縣文化景觀,文化局_文化資產科,莊小姐,(03)932-2440分機606,宜蘭縣文化景觀資訊
宜蘭縣古物,文化局_文化資產科,莊小姐,(03)932-2440分機606,宜蘭縣古物資訊
宜蘭縣街頭藝人展演空間,文化局_表演藝術科,周先生,(03)936-9115分機116,收錄全宜蘭縣街頭藝人展演公共空間地點
宜蘭縣童玩節親善大使全紀錄,文化局_文化資產科,邱小姐,(03)932-2440分機604,"宜蘭縣每年暑假舉辦宜蘭國際童玩藝術節, 邀請許多國外表演團體到宜蘭演出, 為歡迎這些國外友人, 每年在童玩節前皆
會舉辦親善大使甄選, 由在地的團體或家庭代表宜蘭接招國外團體, 本資料集提供親善大使團紀錄"
宜蘭縣宜蘭美展畫冊,文化局_視覺藝術科,蔡小姐,(03)932-2440分機510,"宜蘭美展自2015年起更名為宜蘭獎, 為拓展宜蘭美術發展，提升美術創作能量，於每年辦理宜蘭獎徵件活動。本資料集為
每年宜蘭獎畫冊描述。"
宜蘭縣古蹟,文化局_文化資產科,莊小姐,(03)932-2440分機606,宜蘭縣古蹟資料
宜蘭縣民俗及文物,文化局_文化資產科,莊小姐,(03)932-2440分機606,宜蘭縣民俗及文物資料
宜蘭縣童玩節采風錄,文化局_蘭陽文教,蘭陽文教基金會,(03)935-4766,宜蘭國際童玩藝術節國外團隊表演采風錄資料
宜蘭縣童玩節團隊贈禮紀錄,文化局_文化發展科,童玩節媒宣組,(03)932-2440,"宜蘭國際童玩藝術節每年邀請許多國內外表演團隊到宜蘭演出, 團隊於童玩節演出最後一場皆會進行團隊贈禮儀式, 與大
會交換紀念禮物。本資料集收錄贈禮紀錄。"
宜蘭縣蘭陽文學獎,文化局_文學及圖書資訊科,林小姐,(03)932-2440分機209,蘭陽文學獎獲獎資料
103年度宜蘭縣政府地方稅務局歲入決算,地方稅務局_會計室,陳盈懿,(03)9325101,103年度宜蘭縣政府地方稅務局歲入決算
102年度宜蘭縣政府地方稅務局歲入決算,地方稅務局_會計室,陳盈懿,(03)9325101,102年度宜蘭縣政府地方稅務局歲入決算
101年度宜蘭縣政府地方稅務局歲入決算,地方稅務局_會計室,陳盈懿,(03)932-5101,101年度宜蘭縣政府地方稅務局歲入決算
101年度宜蘭縣政府地方稅務局歲入預算,地方稅務局_會計室,陳盈懿,(03)932-5101,101年度宜蘭縣政府地方稅務局歲入預算
102年度宜蘭縣政府地方稅務局歲入預算,地方稅務局_會計室,陳盈懿,(03)932-5101,102年度宜蘭縣政府地方稅務局歲入預算
宜蘭縣中興文化創意園區公共停車場剩餘車位,文化局_知識中心,林先生,(03)965-5440分機205,"本資料集由API介接, 提供宜蘭縣五結鄉中興文化創意園區停車場動態剩餘車位數量, 約每2分鐘更新一次內容資訊."
宜蘭縣102年查(核)定開徵數情形,地方稅務局_資訊管理科,潘靜儒,(03)9325-101#321,提供宜蘭縣102年查(核)定開徵數情形
宜蘭縣103年查(核)定開徵數情形,地方稅務局_資訊管理科,潘靜儒,(03)9325-101#321,提供宜蘭縣103年查(核)定開徵數情形
宜蘭縣104年查(核)定開徵數情形,地方稅務局_資訊管理科,潘靜儒,(03)9325-101#321,提供宜蘭縣104年查(核)定開徵數情形
宜蘭縣105年查(核)定開徵數情形,地方稅務局_資訊管理科,潘靜儒,(03)9325-101#321,提供宜蘭縣105年查(核)定開徵數情形
104年度宜蘭縣政府地方稅務局各項稅捐實徵淨額,地方稅務局_會計室,陳盈懿,(03)9325101,104年度宜蘭縣政府地方稅務局各項稅捐實徵淨額
103年度宜蘭縣政府地方稅務局各項稅捐實徵淨額,地方稅務局_會計室,陳盈懿,(03)9325101,103年度宜蘭縣政府地方稅務局各項稅捐實徵淨額
102年度宜蘭縣政府地方稅務局各項稅捐實徵淨額,地方稅務局_會計室,陳盈懿,(03)9325101,102年度宜蘭縣政府地方稅務局各項稅捐實徵淨額
101年度宜蘭縣政府地方稅務局各項稅捐實徵淨額,地方稅務局_會計室,陳盈懿,(03)9325101,101年度宜蘭縣政府地方稅務局各項稅捐實徵淨額
104年度宜蘭縣政府地方稅務局歲入預算,地方稅務局_會計室,陳盈懿,(03)9325101,104年度宜蘭縣政府地方稅務局歲入預算
103年度宜蘭縣政府地方稅務局歲入預算,地方稅務局_會計室,陳盈懿,(03)9325101,103年度宜蘭縣政府地方稅務局歲入預算
106年度宜蘭縣政府地方稅務局歲入預算,地方稅務局_會計室,陳盈懿,(03)9325101,106年度宜蘭縣政府地方稅務局歲入預算
104年宜蘭縣政府地方稅務局本轄代發他機關作業統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供104年宜蘭縣政府地方稅務局本轄代發他機關作業統計表
103年宜蘭縣政府地方稅務局本轄代發他機關作業統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供103年宜蘭縣政府地方稅務局本轄代發他機關作業統計表
105年度宜蘭縣政府地方稅務局歲出預算,地方稅務局_會計室,簡素月,(03)9325101#272,105年度宜蘭縣政府地方稅務局歲出預算
104年度宜蘭縣政府地方稅務局歲出預算,地方稅務局_會計室,簡素月,(03)9325101#272,104年度宜蘭縣政府地方稅務局歲出預算
103年度宜蘭縣政府地方稅務局歲出預算,地方稅務局_會計室,簡素月,(03)9325101#272,103年度宜蘭縣政府地方稅務局歲出預算
102年度宜蘭縣政府地方稅務局歲出預算,地方稅務局_會計室,簡素月,(03)9325101#272,102年度宜蘭縣政府地方稅務局歲出預算
101年度宜蘭縣政府地方稅務局歲出預算,地方稅務局_會計室,簡素月,(03)9325101#272,101年度宜蘭縣政府地方稅務局歲出預算
102年度宜蘭縣娛樂稅稅源,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供102年度宜蘭縣娛樂稅稅源
103年度宜蘭縣娛樂稅稅源,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供103年度宜蘭縣娛樂稅稅源
104年度宜蘭縣娛樂稅稅源,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供104年度宜蘭縣娛樂稅稅源
105年度宜蘭縣娛樂稅稅源,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供105年度宜蘭縣娛樂稅稅源
104年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供104年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表
101年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供101年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表
102年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供102年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表
103年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供103年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表
104年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供104年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表
105年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表,地方稅務局_法務科,江麗芬,(03)9325101分機153,提供105年宜蘭縣政府地方稅務局受理各稅目行政救濟案件統計表
103年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供103年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表
102年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供102年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表
101年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供101年宜蘭縣政府地方稅務局全功能服務櫃臺服務項目統計表
宜蘭縣機車排氣定檢通知名冊資料,環保局_空氣噪音防制科,江宜修,(03)9907755分機208,提供宜蘭縣籍機車排氣定檢起訖年月之通知名冊資料
宜蘭縣政府地方稅務局105年視訊服務件數統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供宜蘭縣政府地方稅務局105年視訊服務件數統計表
宜蘭縣政府地方稅務局104年視訊服務件數統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供宜蘭縣政府地方稅務局104年視訊服務件數統計表
宜蘭縣政府地方稅務局103年視訊服務件數統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供宜蘭縣政府地方稅務局103年視訊服務件數統計表
宜蘭縣政府地方稅務局102年視訊服務件數統計表,地方稅務局_企劃服務科,企劃服務科一股股長,(03)932-5101#101,提供宜蘭縣政府地方稅務局102年視訊服務件數統計表
已登錄土地面積,主計處_統計科,,(03)925-1000,已登錄土地面積
105年統計年報,主計處_統計科,,(03)925-1000,105年統計年報
實施三七五減租成果,主計處_統計科,,(03)925-1000,實施三七五減租成果
土地徵收面積(88-101年),主計處_統計科,,(03)925-1000,土地徵收面積(88-101年)
土地徵收面積(102年以後),主計處_統計科,,(03)925-1000,土地徵收面積(102年以後)
公地撥用面積-年依期間_鄉鎮別與項目別,主計處_統計科,,(03)925-1000,公地撥用面積-年依期間_鄉鎮別與項目別
現住戶數、人口密度及性比例-年依期間_鄉鎮市與項目,主計處_統計科,,(03)925-1000,現住戶數、人口密度及性比例-年依期間_鄉鎮市與項目
戶籍動態(88-101年)-年依期間_鄉鎮市與項目,主計處_統計科,,(03)925-1000,戶籍動態(88-101年)-年依期間_鄉鎮市與項目
戶籍動態(102-103年)-年依期間_鄉鎮市與項目,主計處_統計科,,(03)925-1000,戶籍動態(102-103年)-年依期間_鄉鎮市與項目
戶籍動態(104年後)-年依期間_鄉鎮市與項目,主計處_統計科,,(03)925-1000,戶籍動態(104年後)-年依期間_鄉鎮市與項目
現住人口之年齡分配－依5歲間距-年依期間_鄉鎮市_男_女與年齡層,主計處_統計科,,(03)925-1000,現住人口之年齡分配－依5歲間距-年依期間_鄉鎮市_男_女與年齡層
現住人口之年齡分配－依5歲間距-年依期間_鄉鎮市_男_女與年齡層,主計處_統計科,,(03)925-1000,現住人口之年齡分配－依5歲間距-年依期間_鄉鎮市_男_女與年齡層
現住人口之年齡分配－依老幼-年依期間_鄉鎮市與項目,主計處_統計科,,(03)925-1000,現住人口之年齡分配－依老幼-年依期間_鄉鎮市與項目
滿15歲以上現住人口之教育程度－依年齡(88-101年)-年依期間_年齡層_男_女與項目,主計處_統計科,,(03)925-1000,滿15歲以上現住人口之教育程度－依年齡(88-101年)-年依期間_年齡層_男_女與項目
滿15歲以上現住人口之教育程度－依年齡(102年後)-年依期間_年齡層_男_女,主計處_統計科,,(03)925-1000,滿15歲以上現住人口之教育程度－依年齡(102年後)-年依期間_年齡層_男_女
滿15歲以上現住人口之教育程度－依鄉鎮市(88-101年)-年依期間_鄉鎮市_男_女與項目,主計處_統計科,,(03)925-1000,滿15歲以上現住人口之教育程度－依鄉鎮市(88-101年)-年依期間_鄉鎮市_男_女與項目
滿15歲以上現住人口之教育程度－依鄉鎮市(102年後)-年依期間_鄉鎮市_男_女與項目,主計處_統計科,,(03)925-1000,滿15歲以上現住人口之教育程度－依鄉鎮市(102年後)-年依期間_鄉鎮市_男_女與項目
現住人口之婚姻狀況－依年齡-年依期間_年齡層_婚姻與男_女,主計處_統計科,,(03)925-1000,現住人口之婚姻狀況－依年齡-年依期間_年齡層_婚姻與男_女
現住人口之婚姻狀況－依鄉鎮市-年依期間_鄉鎮市_婚姻與男_女,主計處_統計科,,(03)925-1000,現住人口之婚姻狀況－依鄉鎮市-年依期間_鄉鎮市_婚姻與男_女
現住原住民戶口數-年依期間_鄉鎮市與項目,主計處_統計科,,(03)925-1000,現住原住民戶口數-年依期間_鄉鎮市與項目
現住原住民年齡分配-年依期間_鄉鎮市_男_女與年齡層,主計處_統計科,,(03)925-1000,現住原住民年齡分配-年依期間_鄉鎮市_男_女與年齡層
"現住原住民教育程度(92-101年)-年依期間_年齡層_男_女_平地_山地與""。本資",主計處_統計科,,(03)925-1000,"現住原住民教育程度(92-101年)-年依期間_年齡層_男_女_平地_山地與""。本資"
現住原住民教育程度(88-91年)-年依期間_鄉鎮市_男_女_平地_山地與項目,主計處_統計科,,(03)925-1000,現住原住民教育程度(88-91年)-年依期間_鄉鎮市_男_女_平地_山地與項目
現住原住民教育程度(102年後)-年依期間_年齡層_男_女_平地_山地與項目,主計處_統計科,,(03)925-1000,現住原住民教育程度(102年後)-年依期間_年齡層_男_女_平地_山地與項目
現住原住民婚姻狀況(92年後)-年依期間_年齡層_平地_山地_婚姻與男_女,主計處_統計科,,(03)925-1000,現住原住民婚姻狀況(92年後)-年依期間_年齡層_平地_山地_婚姻與男_女
現住原住民婚姻狀況(88-91年)-年依期間_鄉鎮市_平地_山地與項目,主計處_統計科,,(03)925-1000,現住原住民婚姻狀況(88-91年)-年依期間_鄉鎮市_平地_山地與項目
103年宜蘭縣使用牌照稅稅源表,地方稅務局_財產稅科,黃碧玲,(03)932-5101#142,提供103年宜蘭縣使用牌照稅稅源表
102年宜蘭縣使用牌照稅稅源表,地方稅務局_財產稅科,黃碧玲,(03)932-5101#142,提供102年宜蘭縣使用牌照稅稅源表
101年宜蘭縣使用牌照稅稅源表,地方稅務局_財產稅科,黃碧玲,(03)932-5101#142,提供101年宜蘭縣使用牌照稅稅源表
宜蘭縣房屋構造別代號暨折舊率對照表,地方稅務局_財產稅科,林佩宣,(03)9325101-122,資料來源：本表係依據宜蘭縣政府104年6月24日府稅財字第1040112533號公告編製，自104年7月1日起施行。
宜蘭縣107年度淘汰二行程機車與新購電動機車補助資訊,環保局_空氣噪音防制科,楊家騏,(03)990-7755分機209,提供宜蘭縣107年度補助淘汰二行程機車與補助新購電動機車資訊
宜蘭縣移動污染源排氣檢測複檢通知,環保局_空氣噪音防制科,楊家騏,(03)990-7755#209,提供宜蘭縣機車排氣檢測複檢通知限期改善日期及通知事由
106年度宜蘭縣庫款集中支付年報表,財政處_庫款支付科,連玉女,(03)925-1000-2815,支付淨額：支付數減支出收回數、註銷數後之餘額
宜蘭縣各鄉鎮市環保志工隊名單,環保局_空氣噪音防制科,謝欣妤,(03)990-7755#158,提供宜蘭縣各鄉鎮市環保志工隊名單
